harold;harold@gmail.com;Tamakjou.22
Alice;Alice.Plop@gmail.com;Plop4dash!
Bob;Bob.Snuw@gmail.com;Snuw9Crox$
Claire;Claire.Fliffle@gmail.com;Fliffle33@
David;David.Quik@gmail.com;Quikmop*87
Emily;Emily.Zapster@gmail.com;Zapster55&
Frank;Frank.Whizz@gmail.com;Whizzbang@29
Grace;Grace.Frozzle@gmail.com;Frozzle123*
Henry;Henry.Snazzle@gmail.com;Snazzle789&
Isabella;Isabella.Buzzy@gmail.com;Buzzy12!
Jack;Jack.Fizzpop@gmail.com;Fizzpop67&
Kelly;Kelly.Twizzle@gmail.com;Twizzle@33
Liam;Liam.Gadzooks@gmail.com;Gadzooks45$
Mary;Mary.Sizzle@gmail.com;Sizzle98@
Nathan;Nathan.Fizzle@gmail.com;Fizzle$22
Olivia;Olivia.Glimmer@gmail.com;Glimmer66@
Peter;Peter.Wobble@gmail.com;Wobble$78
Rachel;Rachel.Dazzle@gmail.com;Dazzle99&
Sam;Sam.Giggle@gmail.com;Giggle$55
Tina;Tina.Crackle@gmail.com;Crackle@11
Victor;Victor.Hobble@gmail.com;Hobble123*
Wendy;Wendy.Jingle@gmail.com;Jingle67!
Xavier;Xavier.Kerplunk@gmail.com;Kerplunk@44
Yara;Yara.Noodle@gmail.com;Noodle98&
Zach;Zach.Plip@gmail.com;PlipPlop*22
Abigail;Abigail.Razzle@gmail.com;RazzleDazzle88&
Benjamin;Benjamin.Tingle@gmail.com;Tingle55@
Chelsea;Chelsea.Wiggle@gmail.com;WiggleWaggle$77
Daniel;Daniel.Gobble@gmail.com;GobbleGobble66*
Emma;Emma.Scribble@gmail.com;Scribble123&
Finn;Finn.Hippity@gmail.com;HippityHop@99
Georgia;Georgia.Flutterby@gmail.com;Flutterby67$
Harry;Harry.Quibble@gmail.com;Quibble123*
Iris;Iris.Gobbledegook@gmail.com;Gobble
